skill_label,c_layer1,c_layer2,c_layer3
inform on toilet facilities malfunctions,1,3,0
manage chiropractic professional equipment,0,1,8
instruct customers on ammunition's usage,6,0,0
provide food and beverages,1,5,1
edit photographs,4,5,1
operate lifting equipment,5,4,3
history of theology,7,3,2
tend drop forging hammer,5,4,2
advise on furniture style,6,4,0
identify common aquatic species diseases,8,4,0
vacuum street debris,1,3,0
advise on dating,6,4,2
manage musical staff,4,2,0
ensure portion control,1,3,1
tend CNC grinding machine,5,4,0
develop artistic project budgets,4,6,2
accurately estimate work hours,2,3,3
decorate musical instruments,5,2,3
food products composition,1,4,3
use computer programs to improve patients' skills,0,1,6
regulate chemical reaction,3,0,3
handle radiopharmaceuticals,0,1,3
mashing process,1,0,1
prepare furniture for application of paint,5,2,0
perform scrambling operations,1,5,0
create scenery display,8,3,4
evaluate library materials,7,0,0
manage funeral equipment,1,3,2
ensure compliance with civil aviation regulations,1,5,0
dispose of non-hazardous waste,5,3,1
build community relations,2,0,4
manufacturing of smoked tobacco products,1,0,2
repair wood board machinery,5,0,2
technical drawings,3,4,1
apply rubber patches,5,0,0
manage membership,2,3,0
audit HACCP,1,4,4
work out odds,4,4,0
carry out auditions,4,3,2
select illustration styles,4,6,0
maintain relations with children's parents,7,4,2
allergies,3,2,2
supervise pharmaceutical staff,0,1,0
develop new food products,1,4,0
keep records of work progress,5,1,2
maintain the exercise environment,0,2,1
stamp refractory products,5,0,6
research market prices for antiques,6,0,0
apply risk management processes,8,4,1
check subjects,1,7,0
sell orthopedic goods,6,0,0
contribute to protecting individuals from harm,0,0,0
liaise with industrial professionals,3,5,1
handle freight inspection equipment,1,2,1
administer ICT system,10,2,3
manage logs segregation and stacking,8,2,3
tend cigar stamp machine,1,0,2
gather reference materials for artwork,4,6,2
allocate locker space,1,3,0
fundamental veterinary sciences,8,3,2
perform repairs on bicycles,6,3,3
clean patients' ear canals,0,1,5
position sole plates,5,1,4
balance disorders,0,1,5
sell lubricant cooling products for vehicles,6,0,1
dental anatomy,7,1,1
air traffic control operations,1,5,0
install oil rig,3,5,0
transfer patients,0,1,4
assess HACCP implementation in plants,1,4,2
upsetting machine parts,5,4,2
imprint circuit design onto wafers,3,1,0
mechanical tools,5,1,3
inspect waste disposal facilities,3,5,1
programme work according to incoming orders,2,3,3
interpret traffic signals,1,1,1
store products,8,0,1
collaborate with stakeholders in leading community arts,4,6,0
cutting technologies,5,4,1
maintain electrical mine machinery,3,5,0
tend metal fastener machine,5,3,0
install SSTI system,5,1,0
adjust solutions' consistency,5,0,4
develop opportunities for progression in sport,2,3,6
electrical discharge,3,0,1
manage university department,7,4,1
carry out repairs and maintenance of vehicle bodies,6,4,4
identify new business opportunities,6,2,2
use body language,4,2,3
JSSS,10,1,1
develop watering schedules,3,0,0
inspect recycling procedures,3,5,1
avoid contamination,3,5,1
special equipment in emergency,0,1,4
follow water supply schedule,3,0,0
"ensure cooperation among production, costume department and make-up department",4,3,3
train staff on waste management,3,5,1
operate rail grinder,5,1,3
manage system testing,10,2,1
calibrate waste incinerator,3,5,1
prescribe corrective lenses,0,1,0
install spring suspension,5,2,0
use free typing techniques,2,1,0
combination of textures,1,4,1
communicate in English in a competent way,8,4,2
participate in sport events,7,3,3
prepare roofing materials,5,1,4
market entry planning,2,3,5
use stonemason's chisel,5,0,7
university procedures,7,1,3
decontaminate ambulance interior,0,1,4
grind glass,3,3,2
supervise the management of an establishment,2,3,0
practise veterinary professional codes of conduct,8,3,2
manage currency exchange risk mitigation techniques,2,4,3
perform forest analysis,8,2,0
automated optical inspection,3,1,0
forging processes,5,4,2
movement techniques,7,3,1
review development process of an organisation,10,2,3
street art history,4,2,1
manage quality of leather throughout the production process,9,1,1
report chimney defects,3,0,2
maintain the security of machinery,8,2,3
identify innovative concepts in packaging,1,4,4
handle contact lenses,0,1,0
tend spark erosion machine,5,4,1
guide conversion,2,0,4
fire prevention procedures,3,5,1
collect customer feedback on applications,10,3,1
ICT environmental policies,10,2,1
compile wine lists,1,3,1
design scientific equipment,3,5,3
motion graphics,4,5,3
perform product planning,2,2,1
signal cues to announcers,4,3,4
sell hardware,6,0,0
identify health objectives,0,2,0
monitor drivers,1,1,1
debt classification,2,4,3
position drills,5,1,1
evaluate broadcast programs,4,3,4
communicate with social service users,0,0,0
apply forest legislation,8,2,2
promote financial products,2,4,0
ensure compliance with environmental legislation,3,0,0
demonstrate emergency procedures,1,5,1
health and safety measures in transportation,1,1,1
use e-health and mobile health technologies,0,1,0
inform customers environmental protection,3,0,2
prepare technical reports,3,5,0
work in a construction team,5,1,2
calculate value of gems,6,0,4
preserve meaning of original speech,4,0,2
provide opportunities for animals to express natural behaviour,8,3,3
administer prescribed medication,2,0,4
literary criticism,7,1,0
handle timber-based products,5,3,1
perfume raw materials,1,4,0
pathology,0,1,1
apply spot welding techniques,5,1,0
inspect worn tyres,5,0,0
sell clothing items to customers,6,0,2
adjust production schedule,3,0,3
measure customer feedback,6,3,1
supervise artefact movement,4,6,1
test system accessibility for users with special needs,10,0,1
ensure ambulance roadworthiness,0,1,4
carry out sales analysis,2,2,0
operate wrecking ball,5,1,3
maintain inventory of office supplies,2,1,0
give advice on personal matters,6,4,2
upgrade firmware,10,2,2
verify oil circulation,3,5,0
conduct religious missions,2,0,4
operate band saw,5,1,2
automatic meter reading,7,2,2
negotiate land access,3,5,0
scan negatives,5,3,2
create sculpture prototype,4,6,2
spirit taxation regulations,1,0,1
advise on livestock disease control,8,3,2
assist cage net changing,8,4,0
types of showers,5,1,0
label belts,5,0,7
hot vulcanisation,5,0,0
design weirs,3,0,0
motivate employees,2,2,1
maintain concentration for long periods,1,1,1
conserve water resource,3,0,0
natural fertilisers,8,0,0
supply chain management,6,2,3
use of air traffic services document,1,5,2
adjust manufacturing equipment,3,1,0
operate scanner,5,3,2
technical terminology,3,4,2
conduct fire tests,3,5,1
livestock selection principles,8,3,3
oversee mine planning activities,3,5,0
carry out strategic research,2,0,5
develop ICT test suite,10,0,1
adjust paper stitching machine,5,3,0
administer chemicals for beverage clarification,1,0,1
engage artistic staff,4,2,4
plan the stocking of products,1,1,0
negotiate improvement with suppliers,1,0,4
analyse latex samples,5,0,4
advise customers on electrical household appliances' installation,6,0,0
balance the project requirements with health and safety concerns,4,2,3
clean ink rollers,5,3,2
load film,4,5,1
ensure compliance with electricity distribution schedule,3,0,1
salon management,2,3,0
chemical processes,3,2,0
select costumes,4,3,3
N1QL,10,0,1
train horses,8,1,2
genetic engineering,8,0,3
transport visitors,6,4,3
supervise routine maintenance of airport lighting systems,1,5,3
develop gambling games,4,4,5
communicate clearly with passengers,1,1,3
supervise loading of cargo,1,2,1
relaxation techniques,0,1,1
prevent smuggling,1,7,2
drive ambulance under emergency conditions,0,1,4
biomedical science,3,4,2
develop campaigns,2,3,0
treat snoring problems,0,1,0
perform quick hair changeovers,4,1,2
perform daily maintenance on ship machinery,1,2,2
explain interview purposes,2,2,3
teach university class,7,1,1
social security law,2,1,1
represent clients in courts,2,1,2
follow the news,4,5,2
calculate the amount of cargo on a vessel,1,2,1
interact with fellow actors,4,3,1
types of violins,5,2,3
investigate complaints related to consumer protection,1,4,4
operate GPS systems,5,1,3
wound closure techniques,0,1,2
label blood samples,0,1,2
replicate customer software issues,10,0,1
purchase automotive equipment,6,4,4
repair laminated structures,5,0,3
evaluate the psychological impact of speech problems,0,1,5
develop design plans,5,2,3
operate continuous miner,5,0,2
support management of raw materials,1,0,3
undertake navigation safety actions,1,2,0
ensure correct goods labelling,6,3,1
insurance market,2,4,0
participate in medical records' auditing activities,0,1,2
apply operations for an ITIL-based environment,6,1,0
cut tiles,5,1,2
coordinate the sale of game,8,2,0
prevent shoplifting,6,1,1
deal with changing operational demand,1,1,3
monitor patients during surgery,0,1,2
use drying equipment for vehicles,5,2,0
teach journalistic practices,7,1,0
calculate design costs,4,1,2
plan footwear manufacture,9,3,2
disorders affecting self-awareness,0,3,1
take emergency measures in pregnancy,0,1,4
effects of pesticides in food raw materials,1,4,1
monitor temperature in manufacturing process of food and beverages,1,0,4
develop new bakery products,6,3,6
analyse business processes,2,3,5
train air force crew,1,5,0
execute sports training programme,7,3,3
prepare geological map sections,3,5,3
arrange event needs,2,2,1
adapt lifestyle to perform at the highest level in sport,4,4,2
secure cargo in stowage,1,2,0
assess carriers,1,2,1
fill the mixing tank,5,0,4
prevent social problems,0,0,0
install transport equipment engines,3,4,2
dispose prepared animal feeds waste,1,0,3
use oxygenation equipment,8,4,3
install windshields,5,0,5
operate control panels,1,7,0
maintain stage weapons,4,1,2
ICT security legislation,10,2,0
collect items for laundry service,2,3,0
develop grape growing techniques,8,0,3
use content management system software,10,1,1
assist people in contaminated areas,3,5,1
disseminate messages to people,2,1,0
advise customers on leather footwear maintenance,6,0,0
manage school budget,7,4,1
evaluate budgets,2,4,1
provide tourism related information,6,4,3
clean horse's legs,8,1,2
harden soap,5,0,4
report medication interaction to pharmacist,0,1,0
assist people trapped in confined spaces,5,1,6
execute chilling processes to food products,1,0,4
maintain work area cleanliness,5,1,2
assess financial viability,3,4,1
think creatively about jewellery,5,2,2
client-centred counselling,0,0,1
organise fire station,1,7,1
display medical problems,0,1,2
adjust drying process to goods,1,0,3
develop pension schemes,2,1,1
screw and plug parquet boards,5,1,4
calculate purchasing levels of raw materials,2,3,3
perform music in ensemble,4,2,1
prepare flight dispatch release,1,5,2
eject filled capsules,5,0,8
types of audiovisual formats,4,3,4
tend press operation,1,0,3
allocate paychecks,2,1,1
hardware components suppliers,10,2,3
treat animals ethically,8,3,1
operate explosives production equipment,5,0,4
maintain theatre sets,4,1,2
Groovy,10,3,0
monitor amusement park safety,1,8,0
test the braking force of trains,1,1,4
develop urban transport studies,1,1,2
provide petroleum engineering support,3,5,0
move filled moulds,5,0,6
manage personnel,2,4,0
assess crop damage,8,0,3
carry out maintenance of aquaculture equipment,8,4,3
maintain linen operation,8,1,0
woodworking tools,5,2,1
create prototype of user experience solutions,10,0,1
show impartiality,2,1,2
comply with legislation related to health care,0,1,0
study music,4,2,0
promote cultural venue events,6,0,3
understand instructions,8,0,0
advocate for healthcare users' needs,0,0,1
prevent marine pollution,1,7,1
use specialised equipment,8,4,1
characteristics of faces,6,0,7
manage product testing,3,4,1
perfume and cosmetic products,6,2,1
preventive medicine,0,1,0
ensure private property security,1,3,0
create craft prototypes,7,2,3
unload equipment,8,4,0
clean rooms,1,3,0
prepare lifeboats,1,2,0
refurbish facilities,5,1,6
sew pieces of fabric,9,0,1
use equine dental equipment,8,3,2
operate laser plate maker machine,5,3,2
use measurement instruments,5,1,2
process flower bulbs,8,0,1
repair vehicle's electrical equipment,3,1,0
cold forging,5,4,2
serve food in table service,1,3,1
perform product testing,5,4,3
clean ventilation system,3,0,2
inspect compliance with hazardous waste regulations,3,5,1
order supplies,6,3,1
manage stress in organisation,0,0,0
contact talent agents,4,3,2
monitor work for special events,1,3,1
lop trees,8,2,4
clinical cytology,0,1,2
configure electronic equipment,3,3,1
mycology,8,4,1
supervise camp operations,1,3,2
cost management,2,3,5
develop models,2,4,3
flood remediation equipment,0,0,2
veterinary clinical sciences,8,3,2
operate stowage programmes,1,2,1
monitor grounds maintenance,8,0,3
comply with timber trade code of conduct,8,2,3
nurse trees,8,0,2
classify library materials,7,0,0
